Dataset,Domain URI,Domain,Predicate URI,Predicate,Range URI,Range,Property kind,Predicate namespace
YAGO,http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,http://yago-knowledge.org/resource/distanceFromEarth,distanceFromEarth,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://yago-knowledge.org/resource/replaces,replaces,http://schema.org/AdministrativeArea,AdministrativeArea,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://yago-knowledge.org/resource/capital,capital,http://schema.org/City,City,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://schema.org/memberOf,memberOf,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://yago-knowledge.org/resource/demonym,demonym,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://schema.org/slogan,slogan,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://schema.org/postalCode,postalCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://yago-knowledge.org/resource/populationNumber,populationNumber,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/AdministrativeArea,AdministrativeArea,http://yago-knowledge.org/resource/leader,leader,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Place,Place,http://yago-knowledge.org/resource/elevation,elevation,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Place,Place,http://schema.org/geo,geo,http://www.opengis.net/ont/geosparql#wktLiteral,wktLiteral,datatype,http://schema.org/
YAGO,http://schema.org/Place,Place,http://yago-knowledge.org/resource/lowestPoint,lowestPoint,http://schema.org/Place,Place,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Place,Place,http://yago-knowledge.org/resource/highestPoint,highestPoint,http://schema.org/Place,Place,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Place,Place,http://yago-knowledge.org/resource/neighbors,neighbors,http://schema.org/Place,Place,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Place,Place,http://schema.org/location,location,http://schema.org/Place,Place,object,http://schema.org/
